skiregion1,skiregion2,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating
Reckingen-Gluringen,,1.2,1.2,0.0,0.0,1333,1445,112,2,27.0,29.0,2.1
Ghöch,,1.0,0.8,0.2,0.0,1000,1060,60,2,22.0,23.0,2.1
Wasen im Emmental,,1.0,1.0,0.0,0.0,840,910,70,2,22.0,23.0,2.1
Selfranga,Klosters,1.2,1.2,0.0,0.0,1186,1354,168,2,30.0,32.0,2.1
Basse Ruche,,1.0,1.0,0.0,0.0,1087,1125,38,2,20.0,21.0,2.1
Krinau,,0.6,0.4,0.2,0.0,820,908,88,1,,,2.1
Alpe di Neggia,,1.0,1.0,0.0,0.0,1395,1595,200,2,22.0,23.0,2.1
Grenchenberg,Grenchen,0.8,0.8,0.0,0.0,1240,1350,110,2,24.0,26.0,2.1
Realp,,1.0,1.0,0.0,0.0,1550,1660,110,2,29.0,31.0,2.1
Casaccia,,0.5,0.5,0.0,0.0,1550,1600,50,1,20.0,21.0,2.1
Gadmen,,0.5,0.5,0.0,0.0,1205,1300,95,1,18.0,19.0,2.1
Langis,,0.7,0.7,0.0,0.0,1450,1517,67,1,24.0,26.0,2.1
Saas-Balen,,0.5,0.5,0.0,0.0,1472,1521,49,1,16.0,17.0,2.1
Gähwil,,0.8,0.8,0.0,0.0,760,905,145,1,28.0,30.0,2.1
Bündalift,Davos,0.6,0.6,0.0,0.0,1556,1714,158,1,30.0,32.0,2.1
Gurnigelbad,,0.7,0.7,0.0,0.0,1150,1250,100,1,28.0,30.0,2.1
Bäretswil,,1.0,1.0,0.0,0.0,725,835,110,3,22.0,23.0,2.1
Lantsch,,0.8,0.8,0.0,0.0,1290,1382,92,1,,,2.1
Kellerberg,Haldi,0.8,0.8,0.0,0.0,1238,1393,155,1,,,2.1
Dzora,Lourtier,0.6,0.6,0.0,0.0,1100,1188,88,1,,,2.1
Les Orvales,Malleray,0.5,0.5,0.0,0.0,781,855,74,1,,,2.1
La Sagne,,0.5,0.5,0.0,0.0,1040,1140,100,1,,,2.1
Oberwangen,,0.8,0.8,0.0,0.0,627,765,138,2,22.0,23.0,2.1
Les Prévondes,,0.4,0.4,0.0,0.0,987,1090,103,1,5.0,5.0,2.1
Schnabelsberg,Bennau,0.3,0.3,0.0,0.0,950,1020,70,1,17.0,18.0,2.1
Hubelweid,Heiligenschwendi,0.3,0.3,0.0,0.0,1102,1152,50,1,20.0,21.0,2.1
Oberhelfenschwil,,0.4,0.4,0.0,0.0,798,866,68,1,22.0,23.0,2.1
Bedea,Novaggio,0.3,0.3,0.0,0.0,625,690,65,1,15.0,16.0,2.1
Telli,Morschach,0.3,0.3,0.0,0.0,640,676,36,2,14.0,15.0,2.1
Wilern,,0.4,0.4,0.0,0.0,1427,1542,115,1,10.0,11.0,2.1
Sternenberg,Schatzböl,0.3,0.3,0.0,0.0,838,884,46,1,10.0,11.0,2.1
Langmattli,Hergiswil,0.4,0.4,0.0,0.0,838,946,108,1,12.0,13.0,2.1
Beckenhalde,St. Gallen,0.4,0.4,0.0,0.0,764,854,90,1,19.0,20.0,2.1
Hampy,Adelboden,0.3,0.3,0.0,0.0,1289,1351,62,1,26.0,28.0,2.1
Hörnli,Hemberg-Bächli,0.4,0.4,0.0,0.0,890,970,80,1,25.0,27.0,2.1
Ausserschwand,,0.2,0.2,0.0,0.0,1341,1392,51,1,,,2.1
La Trélasse,,0.5,0.5,0.0,0.0,1100,1150,50,2,,,2.1
Mittlerwengi,Kaltbrunn,0.4,0.0,0.4,0.0,1153,1253,100,1,,,2.1
Regensberg-Erlenhof,Im Buck,0.3,0.3,0.0,0.0,605,648,43,1,,,2.1
Haut-de-Caux,,0.1,0.1,0.0,0.0,1156,1166,10,1,,,2.1
Sous-le-Mont,Tavannes,0.3,0.3,0.0,0.0,855,921,66,1,,,2.1
Bildhaus,Gommiswald am Ricken,0.5,0.5,0.0,0.0,800,860,60,2,25.0,27.0,2.1
Cioss Prato,Bedretto,0.4,0.4,0.0,0.0,1550,1610,60,2,17.0,18.0,2.1
Staffelalp,Zeglingen,0.5,0.1,0.3,0.1,726,782,56,1,,,2.0
Les Loges,La Vue des Alpes,1.0,1.0,0.0,0.0,1235,1260,25,2,,,2.0
Bernina Heliski,,0.0,0.0,0.0,0.0,2000,3300,1300,0,,,nan
Trachselwald,,0.5,0.5,0.0,0.0,685,715,30,1,10.0,11.0,nan
Bügls,S-chanf,0.5,0.5,0.0,0.0,1670,1700,30,1,10.0,11.0,nan
La Brévine,,0.8,0.8,0.0,0.0,1048,1100,52,1,3.0,3.0,nan
Raten,Oberägeri,0.8,0.8,0.0,0.0,1077,1119,42,2,14.0,15.0,nan
Guttannen,,0.5,0.5,0.0,0.0,1057,1150,93,1,,,nan
Täsch,,0.5,0.5,0.0,0.0,1450,1500,50,1,,,nan
Rüegsau,,0.5,0.5,0.0,0.0,590,650,60,1,,,nan
LiFu,Furom,0.3,0.3,0.0,0.0,1611,1640,29,1,10.0,11.0,2.0
Bottenwil,Piz Graben,0.3,0.3,0.0,0.0,600,630,30,1,10.0,11.0,2.0
Les Haudères,L'Homazo,0.1,0.1,0.0,0.0,1450,1455,5,1,5.0,5.0,2.0
Mottalift,Serneus,0.4,0.4,0.0,0.0,999,1014,15,1,15.0,16.0,2.0
Oberwald,,0.2,0.2,0.0,0.0,1373,1404,31,1,7.0,7.0,2.0
Lommiswil,Bitzirain,0.2,0.2,0.0,0.0,620,680,60,1,16.0,17.0,2.0
Rossa,,0.4,0.4,0.0,0.0,1100,1150,50,2,15.0,16.0,2.0
Lucky,Aeschi,0.2,0.2,0.0,0.0,860,890,30,1,15.0,16.0,2.0
Schlösslihang,St. Gallen,0.3,0.3,0.0,0.0,660,690,30,1,16.0,17.0,2.0
Nollen,Hosenruck,0.3,0.3,0.0,0.0,687,725,38,1,15.0,16.0,2.0
Asp,,0.3,0.3,0.0,0.0,575,650,75,1,10.0,11.0,2.0
Wildberg,Schafbüel,0.2,0.2,0.0,0.0,685,710,25,1,15.0,16.0,2.0
Randa,,0.2,0.2,0.0,0.0,1421,1435,14,1,8.0,9.0,2.0
Stich,Opfertshofen,0.3,0.3,0.0,0.0,600,665,65,1,10.0,11.0,2.0
Egg,Hallau,0.2,0.2,0.0,0.0,520,560,40,1,10.0,11.0,2.0
Saxeten,Pintli,0.2,0.2,0.0,0.0,1162,1189,27,1,8.0,9.0,2.0
Blatten,Speicher,0.3,0.3,0.0,0.0,900,935,35,1,12.0,13.0,2.0
Mugi,Netstal,0.4,0.4,0.0,0.0,460,550,90,2,10.0,11.0,2.0
Sitzberg,Fischingen,0.2,0.0,0.2,0.0,770,800,30,1,7.5,8.0,2.0
Dietikon,,0.2,0.2,0.0,0.0,460,490,30,1,8.0,9.0,2.0
Norro-Lift,Adelboden,0.2,0.2,0.0,0.0,1305,1332,27,1,15.0,16.0,2.0
Goldiwil,Multenegg,0.2,0.2,0.0,0.0,1100,1120,20,1,5.0,5.0,2.0
Horben,Lindenberg,0.2,0.2,0.0,0.0,765,805,40,1,15.0,16.0,2.0
Mammern-Klingenzell,,0.2,0.2,0.0,0.0,570,600,30,1,,,2.0
Bonderlen,,0.2,0.2,0.0,0.0,1354,1364,10,1,,,2.0
Tarasp,,0.3,0.3,0.0,0.0,1410,1450,40,1,,,2.0
Nunningen,,0.2,0.2,0.0,0.0,660,700,40,1,,,2.0
Pian San Giacomo,,0.2,0.2,0.0,0.0,1180,1200,20,1,,,2.0
Guarda,,0.2,0.2,0.0,0.0,1650,1670,20,1,,,2.0
Ardez,,0.3,0.3,0.0,0.0,1476,1526,50,1,,,2.0
Lukaslift,Grabs,0.2,0.2,0.0,0.0,469,482,13,1,,,2.0
Trient,,0.1,0.1,0.0,0.0,1320,1350,30,1,,,2.0
Brot-Plamboz,,0.4,0.4,0.0,0.0,1050,1100,50,1,,,2.0
Dalpe,,0.2,0.2,0.0,0.0,1200,1250,50,1,,,2.0
Riffenmatt Winterpark,,0.3,0.3,0.0,0.0,1080,1140,60,1,,,2.0
Les Paccots,Mont-Chesau,0.4,0.4,0.0,0.0,800,900,100,1,,,2.0
Le Chaluet,Court,0.2,0.2,0.0,0.0,700,740,40,1,,,2.0
Weisstannen,,0.2,0.2,0.0,0.0,984,1022,38,1,,,2.0
Wiesen,Gruob,0.1,0.1,0.0,0.0,1400,1410,10,1,,,2.0
Saalhöhe,,0.3,0.3,0.0,0.0,720,775,55,1,,,2.0
Urnerboden,,0.3,0.3,0.0,0.0,1360,1420,60,1,,,2.0
Rotberg,Villigen,0.2,0.2,0.0,0.0,560,600,40,1,,,2.0
Schermtanne,Stiegelschwand,0.2,0.2,0.0,0.0,1481,1509,28,1,,,2.0
