web-scraper-order;web-scraper-start-url;skiregion_raw;altitude_start_raw;altitude_end_raw;ort_raw;slope_blue_raw;slope_red_raw;slope_black_raw;lift_count_raw;skipassprice_raw;review_raw
1732267906-1;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Reckingen-Gluringen;1333 m;1445 m;;1,2 km;0 km;0 km;2 Lifte/Bahnen;SFr. 27,- / ca. € 29,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-2;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Ghöch;1000 m;1060 m;;0,8 km;0,2 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-3;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Wasen im Emmental;840 m;910 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-4;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Selfranga – Klosters;1186 m;1354 m;;1,2 km;0 km;0 km;2 Lifte/Bahnen;SFr. 30,- / ca. € 32,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-5;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Basse Ruche;1087 m;1125 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-6;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Krinau;820 m;908 m;;0,4 km;0,2 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-7;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Alpe di Neggia;1395 m;1595 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-8;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Grenchenberg – Grenchen;1240 m;1350 m;;0,8 km;0 km;0 km;2 Lifte/Bahnen;SFr. 24,- / ca. € 26,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-9;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Realp;1550 m;1660 m;;1 km;0 km;0 km;2 Lifte/Bahnen;SFr. 29,- / ca. € 31,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-10;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Casaccia;1550 m;1600 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-11;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gadmen;1205 m;1300 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 18,- / ca. € 19,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-12;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Langis;1450 m;1517 m;;0,7 km;0 km;0 km;1 Lift/Bahn;SFr. 24,- / ca. € 26,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-13;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Saas-Balen;1472 m;1521 m;;0,5 km;0 km;0 km;1 Lift/Bahn;SFr. 16,- / ca. € 17,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-14;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gähwil;760 m;905 m;;0,8 km;0 km;0 km;1 Lift/Bahn;SFr. 28,- / ca. € 30,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-15;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bündalift – Davos;1556 m;1714 m;;0,6 km;0 km;0 km;1 Lift/Bahn;SFr. 30,- / ca. € 32,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-16;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Gurnigelbad;1150 m;1250 m;;0,7 km;0 km;0 km;1 Lift/Bahn;SFr. 28,- / ca. € 30,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-17;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Bäretswil;725 m;835 m;;1 km;0 km;0 km;3 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-18;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Lantsch/​Lenz;1290 m;1382 m;;0,8 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-19;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Kellerberg – Haldi;1238 m;1393 m;;0,8 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-20;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Dzora – Lourtier;1100 m;1188 m;;0,6 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-21;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Orvales – Malleray;781 m;855 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-22;https://www.skiresort.ch/skigebiete/schweiz/seite/3;La Sagne;1040 m;1140 m;;0,5 km;0 km;0 km;1 Lift/Bahn;;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-23;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Oberwangen;627 m;765 m;;0,8 km;0 km;0 km;2 Lifte/Bahnen;SFr. 22,- / ca. € 23,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-24;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Les Prévondes;987 m;1090 m;;0,4 km;0 km;0 km;1 Lift/Bahn;SFr. 5,- / ca. € 5,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-25;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Schnabelsberg – Bennau (Einsiedeln);950 m;1020 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 17,- / ca. € 18,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
1732267906-26;https://www.skiresort.ch/skigebiete/schweiz/seite/3;Hubelweid – Heiligenschwendi;1102 m;1152 m;;0,3 km;0 km;0 km;1 Lift/Bahn;SFr. 20,- / ca. € 21,-;"[{""review_raw"":"""",""review_raw-title"":""2,1 von 5 Sternen""}]"
