skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Reckingen,,Reckingen,1.2,1.2,0.0,0.0,1333,1445,112,2,27.0,29.0,2.1,46.469688415527344,8.241734504699707,VS
Ghöch,,Ghöch,1.0,0.8,0.2,0.0,1000,1060,60,2,22.0,23.0,2.1,47.31350326538086,8.913859367370605,ZH
Wasen im Emmental,,Wasen im Emmental,1.0,1.0,0.0,0.0,840,910,70,2,22.0,23.0,2.1,47.04363250732422,7.795709133148193,BE
Selfranga,Klosters,Klosters,1.2,1.2,0.0,0.0,1186,1354,168,2,30.0,32.0,2.1,46.88248062133789,9.87321662902832,GR
Basse Ruche,,Basse Ruche,1.0,1.0,0.0,0.0,1087,1125,38,2,20.0,21.0,2.1,46.44865798950195,6.159186363220215,VD
Krinau,,Krinau,0.6,0.4,0.2,0.0,820,908,88,1,,,2.1,47.32724380493164,9.050522804260254,SG
Gambarogno,,Gambarogno,1.0,1.0,0.0,0.0,1395,1595,200,2,22.0,23.0,2.1,46.11322021484375,8.829008102416992,TI
Grenchenberg,Grenchen,Grenchen,0.8,0.8,0.0,0.0,1240,1350,110,2,24.0,26.0,2.1,46.82744598388672,7.276194095611572,FR
Realp,,Realp,1.0,1.0,0.0,0.0,1550,1660,110,2,29.0,31.0,2.1,46.59867858886719,8.502817153930664,UR
Casaccia,,Casaccia,0.5,0.5,0.0,0.0,1550,1600,50,1,20.0,21.0,2.1,46.37986755371094,9.651991844177246,GR
Gadmen,,Gadmen,0.5,0.5,0.0,0.0,1205,1300,95,1,18.0,19.0,2.1,46.89348220825195,8.419583320617676,NW
Langis,,Langis,0.7,0.7,0.0,0.0,1450,1517,67,1,24.0,26.0,2.1,46.893402099609375,8.12642765045166,OW
Saas-Balen,,Saas-Balen,0.5,0.5,0.0,0.0,1472,1521,49,1,16.0,17.0,2.1,46.16138458251953,7.9234819412231445,VS
Gähwil,,Gähwil,0.8,0.8,0.0,0.0,760,905,145,1,28.0,30.0,2.1,47.40010070800781,9.006078720092773,SG
Bündalift,Davos,Davos,0.6,0.6,0.0,0.0,1556,1714,158,1,30.0,32.0,2.1,46.70589065551758,9.153645515441895,GR
Gurnigelbad,,Gurnigelbad,0.7,0.7,0.0,0.0,1150,1250,100,1,28.0,30.0,2.1,46.761558532714844,7.443129539489746,BE
Bäretswil,,Bäretswil,1.0,1.0,0.0,0.0,725,835,110,3,22.0,23.0,2.1,47.322540283203125,8.8612060546875,ZH
Lantsch,,Lantsch,0.8,0.8,0.0,0.0,1290,1382,92,1,,,2.1,46.68205261230469,9.565796852111816,GR
Kellerberg,Haldi,Haldi,0.8,0.8,0.0,0.0,1238,1393,155,1,,,2.1,46.895240783691406,8.218409538269043,OW
Dzora,Lourtier,Lourtier,0.6,0.6,0.0,0.0,1100,1188,88,1,,,2.1,46.05069351196289,7.2699761390686035,VS
Les Orvales,Malleray,Malleray,0.5,0.5,0.0,0.0,781,855,74,1,,,2.1,47.23778533935547,7.277003288269043,BE
La Sagne,,La Sagne,0.5,0.5,0.0,0.0,1040,1140,100,1,,,2.1,47.25526809692383,7.130095481872559,JU
Oberwangen,,Oberwangen,0.8,0.8,0.0,0.0,627,765,138,2,22.0,23.0,2.1,47.4270133972168,8.988036155700684,TG
Les Prévondes,,Les Prévondes,0.4,0.4,0.0,0.0,987,1090,103,1,5.0,5.0,2.1,46.55732345581055,6.949479103088379,FR
Schnabelsberg,Bennau,Bennau,0.3,0.3,0.0,0.0,950,1020,70,1,17.0,18.0,2.1,47.14897918701172,8.728755950927734,SZ
Hubelweid,Heiligenschwendi,Heiligenschwendi,0.3,0.3,0.0,0.0,1102,1152,50,1,20.0,21.0,2.1,46.75180435180664,7.68502950668335,BE
Oberhelfenschwil,,Oberhelfenschwil,0.4,0.4,0.0,0.0,798,866,68,1,22.0,23.0,2.1,47.35462188720703,9.10385513305664,SG
