web-scraper-order,web-scraper-start-url,skiresort_name_raw,rating_raw,length_blue_ski_slope_raw,length_red_ski_slope_raw,length_black_ski_slope_raw,altitude_start_raw,altitude_end_raw,number_of_ski_lifts_raw,cost_day_pass_raw
"1731937269-1","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Basse Ruche","","1 km","0 km","0 km","1087 m","1125 m","2 Lifte/Bahnen","SFr. 20,- / ca. € 21,-"
"1731937269-2","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Reckingen-Gluringen","","1,2 km","0 km","0 km","1333 m","1445 m","2 Lifte/Bahnen","SFr. 27,- / ca. € 29,-"
"1731937269-3","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Ghöch","","0,8 km","0,2 km","0 km","1000 m","1060 m","2 Lifte/Bahnen","SFr. 22,- / ca. € 23,-"
"1731937269-4","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Wasen im Emmental","","1 km","0 km","0 km","840 m","910 m","2 Lifte/Bahnen","SFr. 22,- / ca. € 23,-"
"1731937269-5","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Selfranga – Klosters","","1,2 km","0 km","0 km","1186 m","1354 m","2 Lifte/Bahnen","SFr. 30,- / ca. € 32,-"
"1731937269-6","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Krinau","","0,4 km","0,2 km","0 km","820 m","908 m","1 Lift/Bahn",""
"1731937269-7","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Alpe di Neggia","","1 km","0 km","0 km","1395 m","1595 m","2 Lifte/Bahnen","SFr. 22,- / ca. € 23,-"
"1731937269-8","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Bündalift – Davos","","0,6 km","0 km","0 km","1556 m","1714 m","1 Lift/Bahn","SFr. 30,- / ca. € 32,-"
"1731937269-9","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Bäretswil","","1 km","0 km","0 km","725 m","835 m","3 Lifte/Bahnen","SFr. 22,- / ca. € 23,-"
"1731937269-10","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Gurnigelbad","","0,7 km","0 km","0 km","1150 m","1250 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937269-11","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Grenchenberg – Grenchen","","0,8 km","0 km","0 km","1240 m","1350 m","2 Lifte/Bahnen","SFr. 24,- / ca. € 25,-"
"1731937269-12","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Realp","","1 km","0 km","0 km","1550 m","1660 m","2 Lifte/Bahnen","SFr. 29,- / ca. € 31,-"
"1731937269-13","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Gähwil","","0,8 km","0 km","0 km","760 m","905 m","1 Lift/Bahn","SFr. 28,- / ca. € 30,-"
"1731937269-14","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Gadmen","","0,5 km","0 km","0 km","1205 m","1300 m","1 Lift/Bahn","SFr. 18,- / ca. € 19,-"
"1731937269-15","https://www.skiresort.ch/skigebiete/schweiz/seite/3/","Langis","","0,7 km","0 km","0 km","1450 m","1517 m","1 Lift/Bahn","SFr. 24,- / ca. € 25,-"
